© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
miR-182-5p (and other miRNAs w/seed UUGGCAA)	 	mature microRNA	 	 	2.57E-02	PGF,SERPINE2	 
NEDD9	0.152	other	 	 	2.57E-02	GDF15,SERPINE1	 
paricalcitol	 	chemical drug	 	 	2.57E-02	AGT,TFPI	 
bromocriptine	 	chemical drug	 	 	2.57E-02	Csn1s1,IHH	 
cephaloridine	 	chemical drug	 	 	2.62E-02	CYP2C9,GSTP1,TRIB3	 
YAP1	0.044	transcription regulator	 	 	2.64E-02	AREG,HMGCS2,SERPINE1,SNAI2	 
1,25-dihydroxyvitamin D	 	chemical drug	 	 	2.69E-02	MAPK13,MMP3	 
PXR ligand-PXR-Retinoic acid-RXRα	 	complex	 	 	2.69E-02	CYP2C9,SLCO1A2	 
N-cor	 	group	 	 	2.76E-02	GSTP1,IGFBP3,SNAI2	 
L-triiodothyronine	 	chemical - endogenous mammalian	 	0.904	2.81E-02	AGT,CTH,DIO1,GDF15,IGFBP3,SERPINE1,SLAMF9	 
POSTN	 	other	 	 	2.82E-02	ATF4,CLCA1	 
benzyl isothiocyanate	 	chemical - endogenous non-mammalian	 	 	2.82E-02	GSTP1,SERPINE1	 
4-hydroxytamoxifen	 	chemical drug	 	 	2.89E-02	AREG,IGFBP3,KRT13,SNAI2	 
MYD88	0.128	other	 	-1.342	2.93E-02	CCN4,GDF15,NOX1,SERPINE1,U90926	 
Laminin (complex)	 	complex	 	 	2.95E-02	SERPINE1,SNAI2	 
DMP1	 	other	 	 	2.95E-02	IHH,SLC6A9	 
SUMO2	-0.016	enzyme	 	 	2.95E-02	AGT,CTH	 
CSF1R	 	kinase	 	 	2.95E-02	GAL3ST2,LGR5	 
glutamine	 	chemical - endogenous mammalian	 	 	2.97E-02	ATF4,BCAT1,PYCR1	 
cisplatin	 	chemical drug	 	0.120	3.00E-02	ATF4,CLCA1,GDF15,GPX2,GSTP1,IGFBP3,NOX1,SERPINE1,TFPI,WNT4	 
PTEN	0.108	phosphatase	 	-0.853	3.02E-02	CALCRL,Csn1s1,GPR160,IGFBP3,LGR5,MMP3,OTUB2,SERPINE1,SNAI2	 
MET	0.199	kinase	 	 	3.12E-02	AREG,ARID5A,IL15RA	 
RNA polymerase II	 	complex	 	 	3.14E-02	ARID5A,DIO1,GDF15,HAS2,IGFBP3	 
(+)-fluprostenol	 	chemical drug	 	 	3.15E-02	NOX1	 
chondroitin sulfate	 	chemical - endogenous mammalian	 	 	3.15E-02	MMP3	 
sulfadimethoxine	 	chemical toxicant	 	 	3.15E-02	GSTP1	 
menthol	 	chemical drug	 	 	3.15E-02	CYP2C9	 
CpG ODN 1555	 	chemical reagent	 	 	3.15E-02	IL15RA	 
FOXK2	-0.053	transcription regulator	 	 	3.15E-02	SERPINE1	 
G6PC3	-0.045	phosphatase	 	 	3.15E-02	ATF4	 
SLC39A8	0.688	transporter	 	 	3.15E-02	MMP3	 
CREB3L4	-0.287	transcription regulator	 	 	3.15E-02	AQP9	 
SLC7A5	-1.002	transporter	 	 	3.15E-02	ATF4	 
IL31RA	 	transmembrane receptor	 	 	3.15E-02	SOCS2	 
FZD7	-0.055	G-protein coupled receptor	 	 	3.15E-02	SNAI2	 
NCK2	0.336	kinase	 	 	3.15E-02	ATF4	 
MYBBP1A	-0.229	transcription regulator	 	 	3.15E-02	MMP3	 
EAF2	 	transcription regulator	 	 	3.15E-02	WNT4	 
miR-374b-5p (and other miRNAs w/seed UAUAAUA)	 	mature microRNA	 	 	3.15E-02	IHH	 
SFRP2	 	transmembrane receptor	 	 	3.15E-02	SNAI2	 
RSC1A1	-0.050	other	 	 	3.15E-02	SLC28A3	 
CDH4	 	other	 	 	3.15E-02	CDH3	 
BRCA2	-0.226	transcription regulator	 	 	3.15E-02	SERPINE1	 
PPP2R2A	-0.212	phosphatase	 	 	3.15E-02	SERPINE2	 
GJB1	0.665	transporter	 	 	3.15E-02	GJB2	 
beta-elemene	 	chemical - endogenous non-mammalian	 	 	3.15E-02	SNAI2	 
PSMB5	-0.024	peptidase	 	 	3.15E-02	GSTP1	 
Mcpt1	-0.101	peptidase	 	 	3.15E-02	AGT	 
PPP2R5B	0.144	phosphatase	 	 	3.15E-02	SERPINE2	 
hydroxycitric acid	 	chemical - endogenous non-mammalian	 	 	3.15E-02	MMP3	 
cimetidine	 	chemical drug	 	 	3.15E-02	GDF15	 
ISRIB	 	chemical reagent	 	 	3.15E-02	ATF4	 
potassium perchlorate	 	chemical reagent	 	 	3.15E-02	DIO1	 
SOX4	-0.004	transcription regulator	 	-1.980	3.20E-02	CHAC1,P2RX3,SERPINE2,SLC7A3	 
U73122	 	chemical reagent	 	 	3.21E-02	AGT,ATF4	 
Collagen(s)	 	complex	 	 	3.35E-02	ATF4,C4bp	 
HNF4A	0.168	transcription regulator	 	1.586	3.41E-02	AGT,ALDOB,AQP9,ATF4,CYP2C9,GDF15,GJB2,GPR160,GPX2,GRHL1,KCNJ11,LGR5,MPZL2,PPP1R14D,RBP2,SCAND1,SERPINB8,SERPINE1,SHFL,SNAI2,WNT4	 
PGR	 	ligand-dependent nuclear receptor	 	0.064	3.48E-02	AREG,GPR160,SERPINB8,SLC7A5,WNT4	 
PROC	0.389	peptidase	 	 	3.48E-02	AGT,SERPINE1	 
LTA	 	cytokine	 	 	3.48E-02	CHST4,HAS2	 
PI3K (family)	 	group	 	 	3.50E-02	MMP3,SERPINE1,SNAI2	 
losartan potassium	 	chemical drug	 	 	3.50E-02	AGT,ATF4,SERPINE1	 
TGFB2	-0.151	growth factor	 	 	3.58E-02	HAS2,SERPINE1,SNAI2	 
KIT	 	transmembrane receptor	 	 	3.58E-02	IL15RA,SNAI2,SOCS2	 
GNA15	 	enzyme	 	 	3.58E-02	CTH,NOX1,TRIB3	 
MAP2K1	-0.292	kinase	 	 	3.59E-02	AREG,MMP3,SERPINE2,SNAI2	 
FGF21	 	growth factor	 	 	3.62E-02	HMGCS2,SERPINE1	 
OLR1	-0.026	transmembrane receptor	 	 	3.62E-02	HAS2,MMP3	 
Rxr	 	group	 	 	3.66E-02	CYP2C9,DIO1,RBP2	 
RET	 	kinase	 	 	3.66E-02	ATF4,MMP3,REEP6	 
ERBB3	0.329	kinase	 	 	3.74E-02	HAS2,MMP3,SERPINE1	 
PPRC1	-0.083	transcription regulator	 	 	3.77E-02	ATF4,GDF15	 
MED13	-0.058	transcription regulator	 	 	3.77E-02	ACSM3,TFPI	 
HNRNPK	-0.081	transcription regulator	 	 	3.77E-02	AGT,MMP3	 
valsartan	 	chemical drug	 	 	3.77E-02	NOX1,SERPINE1	 
20-hydroxyeicosatetraenoic acid	 	chemical - endogenous mammalian	 	 	3.77E-02	CYP2C9	 
kynurenine	 	chemical - endogenous mammalian	 	 	3.77E-02	MMP3	 
benfluorex	 	chemical drug	 	 	3.77E-02	HMGCS2	 
hydroxyethylnorfenfluramine	 	chemical - endogenous mammalian	 	 	3.77E-02	HMGCS2	 
obatoclax	 	chemical drug	 	 	3.77E-02	ATF4	 
glycitein	 	chemical drug	 	 	3.77E-02	MMP3	 
ATP6AP2	0.051	transporter	 	 	3.77E-02	AGT	 
ZMIZ1	-0.150	other	 	 	3.77E-02	SERPINE1	 
EIF2A	-0.051	translation regulator	 	 	3.77E-02	ATF4	 
ZNRF3	0.119	enzyme	 	 	3.77E-02	WNT4	 
FGF13	 	growth factor	 	 	3.77E-02	MMP3	 
UBP1	-0.092	transcription regulator	 	 	3.77E-02	GRHL1	 
HAS1	 	enzyme	 	 	3.77E-02	HAS2	 
miR-508-3p (miRNAs w/seed GAUUGUA)	 	mature microRNA	 	 	3.77E-02	SERPINE1	 
GPAM	-0.024	enzyme	 	 	3.77E-02	HMGCS2	 
ERCC1	-0.233	enzyme	 	 	3.77E-02	DIO1	 
TAF10	0.022	transcription regulator	 	 	3.77E-02	DIO1	 
RNF111	-0.117	enzyme	 	 	3.77E-02	SERPINE1	 
TADA3	-0.081	transcription regulator	 	 	3.77E-02	RBP2	 
TRIM33	-0.092	transcription regulator	 	 	3.77E-02	SERPINE1	 
C8orf44-SGK3/SGK3	 	kinase	 	 	3.77E-02	ATF4	 
CMA1	 	peptidase	 	 	3.77E-02	AGT	 
PPID	-0.182	enzyme	 	 	3.77E-02	SNAI2	 
MAP3K4	0.020	kinase	 	 	3.77E-02	SNAI2	 
Casp12	0.890	peptidase	 	 	3.77E-02	MMP3	 
MTUS1	0.516	other	 	 	3.77E-02	SNAI2	 
ERCC3	-0.060	enzyme	 	 	3.77E-02	DIO1	 
coumarin	 	chemical drug	 	 	3.77E-02	GSTP1	 
pyridoxamine	 	chemical - endogenous mammalian	 	 	3.77E-02	SERPINE1	 
eprosartan	 	chemical drug	 	 	3.77E-02	SERPINE1	 
(S)-mevalonic acid	 	chemical - endogenous mammalian	 	 	3.77E-02	NOX1	 
12-hydroxyeicosatetraenoic acid	 	chemical - endogenous mammalian	 	 	3.77E-02	NOX1	 
phenylamil	 	chemical reagent	 	 	3.77E-02	TRIB3	 
IL5	 	cytokine	Inhibited	-2.219	3.81E-02	AREG,ATF4,PYCR1,SLC7A5,SOCS2	 
DUSP1	0.148	phosphatase	 	 	3.82E-02	GDF15,GJB2,SERPINE1	 
paraquat	 	chemical toxicant	 	 	3.91E-02	AGT,GSTP1,MMP3	 
IDH1	-0.168	enzyme	 	 	3.91E-02	ATF4,BCAT1	 
EDN1	0.119	cytokine	 	-1.945	3.95E-02	AREG,CALCRL,MMP3,SERPINE1	 
KMT2D	0.155	transcription regulator	 	0.283	4.01E-02	GJB2,GRHL1,REEP6,SYDE2	 
AKT1	0.028	kinase	 	-1.067	4.05E-02	Csn1s1,GDF15,PPP1R1B,SERPINE1,SNAI2	 
resveratrol	 	chemical drug	 	-0.555	4.05E-02	GDF15,IGFBP3,MMP3,NOX1,SERPINE1	 
SQSTM1	-0.095	transcription regulator	 	 	4.06E-02	ARID5A,IL15RA	 
CREBBP	0.116	transcription regulator	 	 	4.09E-02	AGT,ARID5A,HAS2,HMGCS2,SERPINE2,TMPRSS4	 
PI3K (complex)	 	complex	 	-0.882	4.10E-02	ATF4,GSTP1,NOX1,PPP1R1B,SERPINE1	 
MECP2	0.136	transcription regulator	 	 	4.16E-02	GSTP1,IGFBP3,UNC5C	 
deoxycholate	 	chemical - endogenous mammalian	 	 	4.21E-02	CYP2C9,GJB2	 
8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate	 	chemical - kinase inhibitor	 	 	4.21E-02	AREG,CYP2C9	 
H2AB3 (includes others)	 	other	 	 	4.21E-02	CHAC1,MELTF	 
PRMT1	-0.044	enzyme	 	 	4.21E-02	SERPINE1,SNAI2	 
candesartan	 	chemical drug	 	 	4.21E-02	AGT,SERPINE1	 
methimazole	 	chemical drug	 	 	4.21E-02	DIO1,IGFBP3	 
beta-naphthoflavone	 	chemical toxicant	 	 	4.21E-02	GSTP1,SOCS2	 
GSK3B	0.057	kinase	 	 	4.25E-02	IL19,SERPINE1,SNAI2	 
forskolin	 	chemical toxicant	 	-1.119	4.30E-02	AREG,CYP2C9,GSTP1,HAS2,IGFBP3,MMP3,PIK3CD,SERPINE1,WNT4	 
celecoxib	 	chemical drug	 	 	4.34E-02	ATF4,GDF15,SERPINE1	 
CCN5	 	growth factor	 	 	4.36E-02	SERPINE1,SNAI2	 
doramapimod	 	chemical - kinase inhibitor	 	 	4.38E-02	HAS2	 
ST6GALNAC1	 	enzyme	 	 	4.38E-02	SNAI2	 
SNED1	0.184	other	 	 	4.38E-02	IGFBP3	 
APC (complex)	 	complex	 	 	4.38E-02	TRIB3	 
ABL2	0.143	kinase	 	 	4.38E-02	MMP3	 
BAG6	0.112	enzyme	 	 	4.38E-02	SERPINE1	 
AGR2	 	other	 	 	4.38E-02	AREG	 
WNK1	0.033	kinase	 	 	4.38E-02	SERPINE1	 
mir-374	 	microRNA	 	 	4.38E-02	IHH	 
UGDH	-0.283	enzyme	 	 	4.38E-02	HAS2	 
TSC22D1	-0.261	transcription regulator	 	 	4.38E-02	SERPINE1	 
DLC1	 	other	 	 	4.38E-02	SERPINE1	 
LGALS7/LGALS7B	 	other	 	 	4.38E-02	SERPINE1	 
SPTBN4	-0.549	other	 	 	4.38E-02	KCNJ11	 
FERMT1	0.182	other	 	 	4.38E-02	WNT4	 
IGFBP4	0.111	other	 	 	4.38E-02	IGFBP3	 
sulfinosine	 	chemical reagent	 	 	4.38E-02	GSTP1	 
CUL7	0.173	other	 	 	4.38E-02	SNAI2	 
MAD2L2	-0.089	enzyme	 	 	4.38E-02	SNAI2	 
CHGA	 	other	 	 	4.38E-02	SERPINE2	 
ERBIN	0.039	other	 	 	4.38E-02	SERPINE1	 
NKX3-2	 	transcription regulator	 	 	4.38E-02	IHH	 
PGK1	-0.242	kinase	 	 	4.38E-02	MMP3	 
SNW1	-0.066	transcription regulator	 	 	4.38E-02	SERPINE1	 
H4-16	-0.232	other	 	 	4.38E-02	GSTP1	 
Eda	 	other	 	 	4.38E-02	AREG	 
Elf5	 	transcription regulator	 	 	4.38E-02	Csn1s1	 
AP20187	 	chemical reagent	 	 	4.38E-02	ATF4	 
AR-A014418	 	chemical reagent	 	 	4.38E-02	GDF15	 
6-methylsulfinylhexyl isothiocyanate	 	chemical reagent	 	 	4.38E-02	GSTP1	 
butylidenephthalide	 	chemical reagent	 	 	4.38E-02	SNAI2	 
cyclosporin	 	biologic drug	 	 	4.38E-02	IL19	 
PARP1	0.023	enzyme	 	 	4.42E-02	GDF15,HAS2,SOCS2	 
GNAQ	0.448	enzyme	 	 	4.42E-02	AREG,HAS2,SERPINE1	 
SFRP1	 	transmembrane receptor	 	 	4.51E-02	MMP3,SERPINE1	 
NOG	 	growth factor	 	 	4.51E-02	HAS2,MMP3	 
PTPRJ	0.426	phosphatase	 	 	4.51E-02	ARID5A,U90926	 
FOSL2	-0.036	transcription regulator	 	 	4.51E-02	MMP3,S100a7a	 
PTPN1	0.206	phosphatase	 	 	4.51E-02	ARID5A,NOX1	 
salirasib	 	chemical drug	 	 	4.51E-02	ATF4,SERPINE1	 
RUNX2	-0.177	transcription regulator	 	 	4.51E-02	IHH,SERPINE1,SNAI2	 
isobutylmethylxanthine	 	chemical toxicant	 	0.000	4.51E-02	AGT,AREG,MMP3,SERPINE1	 
triamcinolone acetonide	 	chemical drug	 	1.067	4.51E-02	CTH,IGFBP3,PSPH,SOCS2	 
FN1	-0.244	enzyme	 	-1.980	4.58E-02	BCAT1,MMP3,SERPINE1,SNAI2	 
C5	0.674	cytokine	 	 	4.60E-02	GDF15,MMP3,SERPINE1	 
SHC1	-0.059	other	 	 	4.66E-02	GSTP1,SERPINE1	 
GHR	-0.176	transmembrane receptor	 	 	4.66E-02	IGFBP3,SOCS2	 
MAP3K1	0.071	kinase	 	 	4.66E-02	MMP3,SERPINE1	 
IL4R	0.143	transmembrane receptor	 	 	4.66E-02	CLCA1,Sprr2a1/Sprr2a2	 
SIRT1	0.013	transcription regulator	 	-1.633	4.71E-02	AGT,CLCA1,MMP3,SERPINE1,TFPI,TMPRSS4	 
TSHZ3	 	transcription regulator	 	 	4.82E-02	IGFBP3,PODN	 
BCL3	0.052	transcription regulator	 	 	4.82E-02	AGT,IL19	 
carboplatin	 	chemical drug	 	 	4.82E-02	GPX2,HAS2	 
IL22	 	cytokine	 	 	4.88E-02	CLCA1,IL19,MMP3	 
KLF11	0.160	transcription regulator	 	 	4.97E-02	AGT,MMP3,SERPINE1	 
Cyp4a14	 	enzyme	 	 	4.99E-02	CYP4A22	 
N-Cadherin	 	group	 	 	4.99E-02	SOX11	 
ZNF384	0.109	transcription regulator	 	 	4.99E-02	MMP3	 
SLC39A14	0.153	transporter	 	 	4.99E-02	ATF4	 
PON2	-0.255	enzyme	 	 	4.99E-02	TFPI	 
LGI1	 	other	 	 	4.99E-02	MMP3	 
ABCC1	-0.242	transporter	 	 	4.99E-02	NOX1	 
PLCD1	-0.320	enzyme	 	 	4.99E-02	SNAI2	 
ERCC4	0.332	enzyme	 	 	4.99E-02	DIO1	 
RLN1	 	other	 	 	4.99E-02	HAS2	 
THRSP	 	other	 	 	4.99E-02	DIO1	 
CYP4A11	 	enzyme	 	 	4.99E-02	AGT	 
EFEMP1	-0.393	enzyme	 	 	4.99E-02	SERPINE1	 
USP2	 	peptidase	 	 	4.99E-02	SERPINE1	 
LPA	 	other	 	 	4.99E-02	SERPINE1	 
OCLN	0.105	other	 	 	4.99E-02	MMP3	 
MAD2L1	-0.050	other	 	 	4.99E-02	LGR5	 
FBXO2	-0.441	enzyme	 	 	4.99E-02	GJB2	 
TBL1X	0.061	transcription regulator	 	 	4.99E-02	DIO1	 
PROKR1	0.073	G-protein coupled receptor	 	 	4.99E-02	SNAI2	 
filgotinib	 	chemical drug	 	 	4.99E-02	MMP3	 
EDA	 	cytokine	 	 	4.99E-02	AREG	 
TNFRSF10B	 	transmembrane receptor	 	 	4.99E-02	MMP3	 
TBL1XR1	-0.158	transcription regulator	 	 	4.99E-02	DIO1	 
MALAT1	 	other	 	 	4.99E-02	SNAI2	 
butylhydroxybutylnitrosamine	 	chemical toxicant	 	 	4.99E-02	AREG	 
itraconazole	 	chemical drug	 	 	4.99E-02	LGR5	 
NCX-4040	 	chemical drug	 	 	4.99E-02	GSTP1	 
GW 5074	 	chemical - kinase inhibitor	 	 	4.99E-02	SERPINE1	 
methoxychlor	 	chemical toxicant	 	 	4.99E-02	DIO1	 
SC-58125	 	chemical drug	 	 	4.99E-02	GDF15	 
latrunculin A	 	chemical toxicant	 	 	4.99E-02	HAS2	 
hypochlorous acid	 	chemical drug	 	 	4.99E-02	SNAI2	 
epoxyeicosatrienoic acid analog B	 	chemical reagent	 	 	4.99E-02	NOX1	 
epoxyeicosatrienoic acid analog A	 	chemical reagent	 	 	4.99E-02	NOX1	 
uridine	 	chemical - endogenous mammalian	 	 	4.99E-02	ALDOB	 
N,N-dimethylarginine	 	chemical - endogenous mammalian	 	 	4.99E-02	SERPINE1	 
palmitic acid	 	chemical - endogenous mammalian	 	-1.961	5.85E-02	ATF4,GDF15,SERPINE1,TRIB3	 
SP1	0.046	transcription regulator	Inhibited	-2.172	7.36E-02	CTH,GDF15,HAS2,IGFBP3,PADI4,SERPINE1,SERPINE2	 
NOTCH1	0.362	transcription regulator	 	1.886	8.81E-02	IGFBP3,MMP3,SERPINE1,WNT4	 
Akt	 	group	 	-1.985	1.13E-01	ATF4,PPP1R1B,SERPINE1,SNAI2	 
methylprednisolone	 	chemical drug	 	-1.910	1.28E-01	ALDOB,CDH3,DIO1,GSTP1,PIGR,SERPINE1	 
trichostatin A	 	chemical drug	 	1.824	2.11E-01	AGT,BCAT1,DDR2,HMGCS2,IGFBP3,MMP3,PIK3CD,UNC5C	 
NUPR1	-0.626	transcription regulator	Inhibited	-2.236	2.21E-01	AREG,GDF15,LHFPL2,SERPINE1,TRIB3	 
IL2	 	cytokine	 	-1.961	3.80E-01	AREG,CYP2C9,GDF15,SOCS2,TRIB3	 
